,headline,abstract,date,category,emotion,source,links,sentiment,Emotion,reportCountry
0,China Moves to Steady Its Slowing Economic Growth,The country¡¯s central bank will in effect inject $115 billion,2020/1/1,business  ,0,nytimes,https://www.nytimes.com/2020/01/01/business/economy/china-economy-reserve-requirement-ratio.html,0.183333333,0.183333333,1
1,"Lesson of the Day: ¡®Chinese Restaurants Are Closing. That¡¯s a Good Thing, the Owners Say.¡¯",In this lesson students will look at immigrant entrepreneurship and,2020/1/3,society ,0,nytimes,https://www.nytimes.com/2020/01/03/learning/lesson-of-the-day-chinese-restaurants-are-closing-thats-a-good-thing-the-owners-say.html,0.7,0.7,1
2,"American Consumers, Not China, Are Paying for Trump¡¯s Tariffs",New York Fed and academic researchers found that U.S. consumers,2020/1/6,business   ,0,nytimes,https://www.nytimes.com/2020/01/06/business/economy/trade-war-tariffs.html,0,0,1
105,"A Grim Landmark as Official Death Toll in China Tops 1,000","President Xi Jinping, accused of being aloof amid the crisis,",2020/2/10,covid-19,-1,nytimes,https://www.nytimes.com/2020/02/10/world/asia/coronavirus-china.html,-1,-1,1
4,A Bangkok Kitchen Hides Inside a Chinese Restaurant in Queens,"To find Thai Cook in Elmhurst, enter the hot-pot place",2020/1/7,society ,0,nytimes,https://www.nytimes.com/2020/01/07/dining/thai-cook-review-pete-wells.html,0,0,1
623,US vicious attacks against China at security meeting prove futile,,2020/2/21,politics,-1,chinadaily,https://global.chinadaily.com.cn/a/202012/09/WS5fd040f0a31024ad0ba9acc4.html,-1,-1,1
215,"With Selective Coronavirus Coverage, China Builds a Culture of Hate",The state propaganda machine highlights other countries¡¯ mistakes while suppressing,2020/4/22,covid-19,-1,nytimes,https://www.nytimes.com/2020/04/22/business/china-coronavirus-propaganda.html,-0.8,-0.96,1
69,Coronavirus Anger Boils Over in China and Doctors Plead for Supplies,A man was detained after beating up a doctor in,2020/1/30,covid-19,-1,nytimes,https://www.nytimes.com/2020/01/30/world/asia/china-coronavirus-epidemic.html,-0.7,-0.94,1
627,US interference in WIPO election ugly: Editorial,,2020/2/27,politics,-1,chinadaily,https://www.chinadaily.com.cn/a/202009/07/WS5f556ebba310675eafc57cad.html,-0.7,-0.94,1
9,Trump¡¯s Supporters See U.S. Victory in China Trade Deal,"The president says his ¡°big, beautiful¡± trade deal is a",2020/1/14,business ,0,nytimes,https://www.nytimes.com/2020/01/14/us/politics/trump-china-trade-deal.html,0,0,1
