headline,abstract,date,category,emotion,source
China Moves to Steady Its Slowing Economic Growth,The country¡¯s central bank will in effect inject $115 billion,2020/1/1,business  ,0,nytimes
"Lesson of the Day: ¡®Chinese Restaurants Are Closing. That¡¯s a Good Thing, the Owners Say.¡¯",In this lesson students will look at immigrant entrepreneurship and,2020/1/3,society ,0,nytimes
"American Consumers, Not China, Are Paying for Trump¡¯s Tariffs",New York Fed and academic researchers found that U.S. consumers,2020/1/6,business   ,0,nytimes
Impossible Dumplings and Beyond Buns: Will China Buy Fake Meat?,Impossible Foods and Beyond Meat want to expand to the,2020/1/7,society ,-1,nytimes
A Bangkok Kitchen Hides Inside a Chinese Restaurant in Queens,"To find Thai Cook in Elmhurst, enter the hot-pot place",2020/1/7,society ,0,nytimes
Chinese Immigrant Evades Murder Verdict in Killing of Wealthy Relative in Canada,"After a trial that took more than two years, Zhao",2020/1/8,society ,-1,nytimes
Trump Administration¡¯s Actions in Middle East Complicate Its Criticisms of China,President Trump¡¯s use of military force against Iran gives Beijing,2020/1/9,military ,-1,nytimes
How China May Help Its Enemy Get Elected in Taiwan,President Tsai can thank Beijing for its stupidity if she,2020/1/10,politics ,-1,nytimes
U.S. Says China Is No Longer a Currency Manipulator,The Treasury Department¡¯s removal of the designation provided a major,2020/1/13,business ,-1,nytimes
Trump¡¯s Supporters See U.S. Victory in China Trade Deal,"The president says his ¡°big, beautiful¡± trade deal is a",2020/1/14,business ,0,nytimes
"For a Successful Chinese Woman, Can Motherhood Be Her Undoing?","In Meng Jin¡¯s debut novel, ¡°Little Gods,¡± a teenage immigrant",2020/1/14,society   ,-1,nytimes
Why ¡®Star Wars¡¯ Keeps Bombing in China,"Despite an aggressive marketing push by Disney, movie after movie",2020/1/14,society   ,1,nytimes
Video Shows Bus Falling Into Sinkhole in China,"A sinkhole in China swallowed a bus, killing at least",2020/1/14,society ,-1,nytimes
China Trade Deal Details Protections for American Firms,The agreement is expected to include significant concessions to protect,2020/1/15,business  ,0,nytimes
Chinese Roast Pork on Garlic Bread: What More Could You Want?,"One of the great New York sandwiches, courtesy of China,",2020/1/15,society ,1,nytimes
"Trump Gets His Trade Deal, China Gets the Win","China has suffered short-term pain from the trade war, but",2020/1/15,business  ,1,nytimes
A Maine Paper Mill¡¯s Unexpected Savior: China,First came the Buddhist monks. Then the feng shui consultant.,2020/1/15,business  ,1,nytimes
How China Obtains American Trade Secrets,Companies have long accused Chinese rivals of swiping or seizing,2020/1/15,business  ,-1,nytimes
The U.S.-China Trade Deal Leaves Many Questions Unanswered,President Trump and a top Beijing official will meet today,2020/1/15,business  ,0,nytimes
"Trump Signs China Trade Deal, Putting Economic Conflict on Pause","An initial pact, cooling tensions in an election year, follows",2020/1/15,politics  ,1,nytimes
Why the Deal With China Amounts to More than a Hill of Soybeans,"The temporary resolution was bound to be underwhelming, but it¡¯s",2020/1/15,business  ,0,nytimes
What¡¯s in (and Not in) the U.S.-China Trade Deal,"The agreement includes some wins for President Trump, but implementing",2020/1/15,politics  ,0,nytimes
"Impeachment, China Trade, Whitney Houston: Your Wednesday Evening Briefing",Here¡¯s what you need to know at the end of,2020/1/15,business  ,0,nytimes
U.S. Energy Industry Looks for Clarity in China Trade Deal,Oil and gas companies may see an export revival from,2020/1/15,business ,0,nytimes
Trump Falsely Calls China Trade Agreement ¡®Biggest Deal There Is¡¯,The initial deal between the United States and China is,2020/1/16,business ,0,nytimes
U.S. and Iran Are Trolling Each Other ¡ª in China,"On Chinese social media, where diplomatic rows rarely break into",2020/1/16,politics ,0,nytimes
The Campaign to Redefine ¡®Chinese Restaurant Syndrome¡¯,The leading maker of MSG started a push to ask,2020/1/16,business ,-1,nytimes
"In Huawei Battle, China Threatens Germany ¡®Where It Hurts¡¯: Automakers","VW, Daimler and BMW sell more cars in China than",2020/1/16,business ,-1,nytimes
What Americans Don¡¯t Understand About China¡¯s Power,Its biggest advantage is American stagnation.,2020/1/16,business ,1,nytimes
China¡¯s Improving Economic Data Masks Deeper Problems,"Consumers are spending, and Beijing reached a trade deal with",2020/1/16,business ,1,nytimes
What Grade Does Trump¡¯s China Trade Deal Deserve? Incomplete,The cost of President Trump¡¯s China strategy continues to grow.,2020/1/17,business ,0,nytimes
Marco Rubio: Investing in China Is Not a Good Deal,It will result in American capital flowing to a regime,2020/1/17,society ,-1,nytimes
The Chinese Population Crisis,How Communist cruelty and Western folly built an underpopulation bomb.,2020/1/18,society ,-1,nytimes
"Lessons for Americans, From a Chinese Classroom","Observing how Chinese 2- and 3-year-olds navigated a second language,",2020/1/20,society ,-1,nytimes
Trump¡¯s China Deal Creates Collateral Damage for Tech Firms,Micron secured some gains from the China deal but it,2020/1/20,tech,-1,nytimes
"Democrats, China Virus, Australian Open: Your Monday Briefing",Here's what you need to know.,2020/1/20,covid-19,-1,nytimes
China Says It Will Ban Plastics That Pollute Its Land and Water,Though likely to be welcomed by many Chinese who worry,2020/1/20,society   ,-1,nytimes
"Chinese Virus, Boeing, Australia Weather: Your Tuesday Briefing",Here¡¯s what you need to know.,2020/1/20,covid-19,0,nytimes
"Impeachment, China Virus, France: Your Tuesday Briefing",Here¡¯s what you need to know.,2020/1/21,covid-19,0,nytimes
Chinese City Uses Facial Recognition to Shame Pajama Wearers,"Local officials apologized, but the crackdown on a common ¡ª",2020/1/21,society   ,0,nytimes
What Americans Can Learn From the Chinese,Young contestants on a talent show demonstrated why China is,2020/1/22,society   ,-1,nytimes
"China Poised to Buy More From U.S., at the Expense of U.S. Allies",The trade truce may have eased tensions between the world¡¯s,2020/1/23,business ,1,nytimes
"China, Rohingya Muslims, Eli Manning: Your Thursday Briefing",Here's what you need to know.,2020/1/23,covid-19,-1,nytimes
How China¡¯s Virus Outbreak Could Threaten the Global Economy,Markets have tumbled as investors worry that Chinese shoppers will,2020/1/23,covid-19,0,nytimes
"Many in China Wear Them, but Do Masks Block Coronavirus?","They may help, but experts say it¡¯s more important to",2020/1/23,covid-19,-1,nytimes
Toll From Outbreak Climbs in China as Infections Reach Europe and Australia,"Shanghai Disneyland shut down, hospitals pleaded for help, France reported",2020/1/24,covid-19,-1,nytimes
10 Injured and Community Center Damaged in Chinatown Fire,A building critical to several community groups in Chinatown was,2020/1/24,society ,-1,nytimes
U.S. Cracks Down on Counterfeits in a Warning Shot to China,The Trump administration is stepping up searches and squeezing online,2020/1/24,business ,-1,nytimes
"85,000 Pieces From Beloved Chinatown Museum Likely Destroyed in Fire",The president of the Museum of Chinese in America said,2020/1/25,society ,-1,nytimes
"As Coronavirus and Fear Spread to the U.S., Chinese-Americans Rush to Help","Facing the brunt of scrutiny in the United States, Chinese-Americans",2020/1/25,covid-19,-1,nytimes
Coronavirus Spurs China to Suspend Tours Abroad and Xi to Warn of a ¡®Grave Situation¡¯,Concern over the outbreak has crept closer to central government,2020/1/25,covid-19,-1,nytimes
"More U.S. Coronavirus Cases Emerge, as China¡¯s Death Toll Rises","The number of dead climbed to at least 80, while",2020/1/26,covid-19,-1,nytimes
"In Coronavirus, a ¡®Battle¡¯ That Could Humble China¡¯s Strongman","With Xi Jinping firmly in control, the Chinese government has",2020/1/26,covid-19,-1,nytimes
Chinese Officials Race to Contain Anger Over Virus,"With public fury rising, the government acted on several fronts",2020/1/27,covid-19,-1,nytimes
China¡¯s Coronavirus Has Revived Global Economic Fears,The spread of the dangerous virus has spooked global markets,2020/1/27,covid-19,-1,nytimes
An Ode to Manhattan¡¯s Chinatown,"In celebration of the Lunar New Year, a pop-up store",2020/1/28,society ,1,nytimes
U.S. Accuses Harvard Scientist of Concealing Chinese Funding,"Prosecutors say Charles M. Lieber, the chair of Harvard¡¯s chemistry",2020/1/28,society ,-1,nytimes
China Will Admit International Experts to Help Contain Coronavirus Outbreak,"As W.H.O. coordinates scientific teams, federal officials plan to expand",2020/1/28,covid-19,1,nytimes
Bolton Book Puts New Focus on Trump¡¯s Actions in Turkey and China Cases,Interventions in Justice Department proceedings draw scrutiny after the former,2020/1/28,politics  ,0,nytimes
Her Uighur Parents Were Model Chinese Citizens. It Didn¡¯t Matter.,When Zulhumar Isaac¡¯s parents disappeared amid a wave of detentions,2020/1/29,society ,1,nytimes
Coronavirus Outbreak Tests World¡¯s Dependence on China,"As British Airways cancels flights and automakers close factories, businesses",2020/1/29,covid-19,1,nytimes
Interior Dept. Grounds Its Drones Over Chinese Spying Fears,The order formalizes a decision last year to ground the,2020/1/29,military ,-1,nytimes
Foreigners Airlifted From Chinese City at Heart of Coronavirus Outbreak,More than a dozen nations pulled their citizens from Wuhan.,2020/1/29,covid-19,0,nytimes
"Coronavirus Spreads, and the World Pays for China¡¯s Dictatorship",Xi used his tight rule to control information rather than,2020/1/30,covid-19,-1,nytimes
"As Coronavirus Explodes in China, Countries Struggle to Control Its Spread","The time to prevent more epidemics is now, and countries",2020/1/30,covid-19,0,nytimes
"Deaths Surpass 200, and State Department Urges Against Travel to China","The United States set its advisory at Level 4, which",2020/1/30,covid-19,-1,nytimes
Wall St. Shrugs Off Risks Related to Viral Outbreak in China,Global stocks fell as economists revised their outlooks on the,2020/1/30,covid-19,0,nytimes
"Coronavirus, a Fire and Anxiety in the Chinese Community",Lunar New Year celebrations have taken on a muted feel.,2020/1/30,culture,1,nytimes
Pompeo Calls China¡¯s Ruling Party ¡®Central Threat of Our Times¡¯,Secretary of State Mike Pompeo made the stark statement at,2020/1/30,politics ,0,nytimes
Coronavirus Anger Boils Over in China and Doctors Plead for Supplies,A man was detained after beating up a doctor in,2020/1/30,covid-19,-1,nytimes
State Department Warns Against Traveling to China Amid Coronavirus Outbreak,"Americans who are currently in China should consider leaving, United",2020/1/31,covid-19,-1,nytimes
"As Virus Spreads, U.S. Temporarily Bars Foreigners Who¡¯ve Visited China",Most foreign nationals will not be allowed to enter the,2020/1/31,covid-19,-1,nytimes
3 Major U.S. Airlines Suspend China Flights Over Coronavirus,"American, Delta and United will halt service to the Chinese",2020/1/31,covid-19,-1,nytimes
Trump Administration Restricts Entry Into U.S. From China,The travel disruption sent shocks through the stock market and,2020/1/31,covid-19,-1,nytimes
"Impeachment, China, Super Bowl: Your Friday Evening Briefing",Here¡¯s what you need to know at the end of,2020/1/31,covid-19,0,nytimes
China Increasingly Walled Off as Countries Seek to Stem Coronavirus,The number of deaths from the virus outbreak rose to,2020/2/1,covid-19,-1,nytimes
Stocks Sink as Markets Open in China,"As the overall death toll passed 360, a quarantine is",2020/2/2,covid-19,-1,nytimes
China and America Can Compete and Coexist,Even strategic enemies can build trust when they measure the,2020/2/3,politics ,1,nytimes
Home at Last From China: A Foreign Exchange Student¡¯s Travel Ordeal,A tense nighttime drive along deserted roads to an empty,2020/2/3,travel ,-1,nytimes
OPEC Scrambles to React to Falling Oil Demand From China,"As the coronavirus hits China¡¯s economy, threatening fuel demand, policymakers",2020/2/3,business ,-1,nytimes
Coronavirus May Delay Hard-Fought U.S. Trade Wins in China,The spread of the virus is likely to slow China¡¯s,2020/2/3,covid-19,-1,nytimes
Beijing Sees ¡®Major Test¡¯ as Doors to China Close and Coronavirus Deaths Surpass SARS,The number of dead is likely to grow as the,2020/2/3,covid-19,-1,nytimes
"Deaths in China Rise, With No Sign of Slowdown",Hyundai is suspending production in South Korea amid supply chain,2020/2/4,covid-19,0,nytimes
Virus Exposes Cracks in Carmakers¡¯ Chinese Supply Chains,"Hyundai will idle plants in South Korea, pointing to a",2020/2/4,covid-19,0,nytimes
"Coronavirus in N.Y.: Without Chinese Tourists, Business Sags",New York and other tourist destinations around the world are,2020/2/4,covid-19,0,nytimes
"As China Clamps Down on Negative News, Quarantines on Land and Sea","There are now 12 confirmed cases in the United States,",2020/2/5,covid-19,-1,nytimes
Who Says It¡¯s Not Safe to Travel to China?,The coronavirus travel ban is unjust and doesn¡¯t work anyway.,2020/2/5,covid-19,1,nytimes
China Clamps Down on Coronavirus Coverage as Cases Surge,"Public frustrations were once left uncensored online, and news outlets",2020/2/6,covid-19,-1,nytimes
Wuhan Rounds Up the Infected as Death Toll in China Jumps,Health officials are focusing on faster diagnoses of the coronavirus.,2020/2/6,covid-19,-1,nytimes
China Cuts Tariffs on $75 Billion in U.S. Goods. That Was the Easy Part.,The move signals Beijing¡¯s intention to fulfill a trade pact,2020/2/6,business ,-1,nytimes
China¡¯s Lavish Funds Lured U.S. Scientists. What Did It Get in Return?,"For years, China¡¯s Thousand Talents recruitment plan attracted U.S. scientists",2020/2/6,tech,1,nytimes
